start time;end time;elapsed utime;curr pitch;curr yaw;pwm pitch;pwm yaw
1780907629737489;1780907629737490;1;500;-500;-0.990000;-0.990000
1780907629747705;1780907629747706;1;500;-500;-0.990000;-0.990000
1780907629758005;1780907629758006;1;500;-500;-0.990000;-0.990000
1780907629768118;1780907629768119;1;500;-500;-0.990000;-0.990000
1780907629778333;1780907629778334;1;500;-500;-0.990000;-0.990000
1780907629788499;1780907629788500;1;500;-500;-0.990000;-0.990000
1780907629798623;1780907629798625;2;500;-500;-0.990000;-0.990000
1780907629808746;1780907629808747;1;500;-500;-0.990000;-0.990000
1780907629818940;1780907629818941;1;500;-500;-0.990000;-0.990000
1780907629829181;1780907629829182;1;500;-500;-0.990000;-0.990000
1780907629839619;1780907629839620;1;500;-500;-0.990000;-0.990000
1780907629849932;1780907629849934;2;500;-500;-0.990000;-0.990000
1780907629860181;1780907629860182;1;500;-500;-0.990000;-0.990000
1780907629870341;1780907629870342;1;500;-500;-0.990000;-0.990000
1780907629880476;1780907629880477;1;500;-500;-0.990000;-0.990000
1780907629890795;1780907629890796;1;500;-500;-0.990000;-0.990000
1780907629901117;1780907629901118;1;500;-500;-0.990000;-0.990000
1780907629911372;1780907629911374;2;500;-500;-0.990000;-0.990000
1780907629921624;1780907629921625;1;500;-500;-0.990000;-0.990000
1780907629931834;1780907629931835;1;500;-500;-0.990000;-0.990000
1780907629942083;1780907629942085;2;500;-500;-0.990000;-0.990000
1780907629952340;1780907629952342;2;500;-500;-0.990000;-0.990000
1780907629962606;1780907629962607;1;500;-500;-0.990000;-0.990000
1780907629972749;1780907629972751;2;500;-500;-0.990000;-0.990000
1780907629983018;1780907629983019;1;500;-500;-0.990000;-0.990000
1780907629993318;1780907629993319;1;500;-500;-0.990000;-0.990000
1780907630003530;1780907630003531;1;500;-500;-0.990000;-0.990000
1780907630013662;1780907630013663;1;500;-500;-0.990000;-0.990000
1780907630023826;1780907630023827;1;500;-500;-0.990000;-0.990000
1780907630034038;1780907630034039;1;500;-500;-0.990000;-0.990000
1780907630044263;1780907630044264;1;500;-500;-0.990000;-0.990000
1780907630054464;1780907630054466;2;500;-500;-0.990000;-0.990000
1780907630064670;1780907630064671;1;500;-500;-0.990000;-0.990000
1780907630074927;1780907630074929;2;500;-500;-0.990000;-0.990000
1780907630085066;1780907630085067;1;500;-500;-0.990000;-0.990000
1780907630095271;1780907630095272;1;500;-500;-0.990000;-0.990000
1780907630105557;1780907630105558;1;500;-500;-0.990000;-0.990000
1780907630115746;1780907630115747;1;500;-500;-0.990000;-0.990000
1780907630125951;1780907630125952;1;500;-500;-0.990000;-0.990000
1780907630136170;1780907630136171;1;500;-500;-0.990000;-0.990000
1780907630146368;1780907630146369;1;500;-500;-0.990000;-0.990000
1780907630156511;1780907630156513;2;500;-500;-0.990000;-0.990000
1780907630166763;1780907630166764;1;500;-500;-0.990000;-0.990000
1780907630176943;1780907630176944;1;500;-500;-0.990000;-0.990000
1780907630187138;1780907630187139;1;500;-500;-0.990000;-0.990000
1780907630197356;1780907630197357;1;500;-500;-0.990000;-0.990000
1780907630207591;1780907630207592;1;500;-500;-0.990000;-0.990000
1780907630217771;1780907630217773;2;500;-500;-0.990000;-0.990000
1780907630228003;1780907630228004;1;500;-500;-0.990000;-0.990000
1780907630238245;1780907630238246;1;500;-500;-0.990000;-0.990000
1780907630248471;1780907630248472;1;500;-500;-0.990000;-0.990000
